Source:,D:\Study_New\EE256\Project\UV_Sensor_Project\UV_Sensor_Project.kicad_sch,,,,,,,,,,,,,,,,,
Date:,11-11-2023 07:41,,,,,,,,,,,,,,,,,
Tool:,Eeschema 7.0.7,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,
Component Count:,75,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DNP,Field4,Field5,Field6,Field7,Field8,Freq,description,mfr,mfr s/n,supplier 1,supplier 1 s/n
1,10,"C1, C2, C4, C6, C7, C8, C9",10uF,SAM32-rescue:CAP_CERAMIC0805-NOOUTLINE-SAM32,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,,,,,Digikey,1276-1181-2-ND
2,2,C3,1uF,SAM32-rescue:CAP_CERAMIC0603_NO-SAM32,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,,,,,,,,,Digikey,1276-1068-2-ND
3,4,"C5, C10",9pF,SAM32-rescue:CAP_CERAMIC0603_NO-SAM32,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,,,,,,,,,Digikey,490-11242-2-ND
4,4,"C11, C12",1uF,SAM32-rescue:CAP_CERAMIC0805-NOOUTLINE-SAM32,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,,,,,,,,,Digikey,399-C0402C105K9PAC7867TR-ND
5,1,J2,USB_B_Micro,Connector:USB_B_Micro,Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,~,,,,,,,,CONN RCPT USB2.0 MICRO B SMD R/A,Amphenol ICC (FCI),10118193-0001LF,Digikey,609-4616-2-ND
6,1,J4,Conn_01x14,Connector_Generic:Conn_01x14,Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical,~,,,,,,,,,,,Digikey,2553-2011-1X14G00SI032B-ND
7,1,J5,3221-10-0300-00,3221_Jlink:3221-10-0300-00,CONN10_3221-10-0300-00_CNC,3221-10-0300-00,,,,,,,,"Connector Header Surface Mount 10 position 0.050"" (1.27mm)",CNC Tech,3221-10-0300-00,Digi-Key,1175-1735-ND
8,1,JP1,Bridged Jumper,SAM32-rescue:SolderJumper_3_Bridged12-Jumper,Jumper:SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm,,,,,,,,,,,,,
9,2,L1,10uH,SAM32-rescue:INDUCTOR-SAM32,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://product.tdk.com/info/en/catalog/datasheets/inductor_commercial_power_vls201610hbx-1_en.pdf,,,,,,,,,,,Digikey,445-173005-2-ND
10,2,LED1,LTST-C150GKT,LTST_C150GKT:LTST-C150GKT,LTST_C150GKT:LED_LTST-C150GKT_LTO,LTST-C150GKT,,,,,,,,,Lite-On Inc.,LTST-C150GKT,Digi-Key,160-1169-2-ND
